UserId,Questions,Answers,Reputation
"22656","30","28798","662121"
"29407","33","20519","507613"
"157882","13","15519","468925"
"23354","43","12443","458822"
"17034","2","13627","441592"
"6309","15","9617","380902"
"34397","52","13330","371778"
"115145","26","12211","364550"
"893","43","5024","337345"
"14860","150","7493","324140"
"23283","5","6437","315195"
"95810","6","5517","313562"
"13302","127","7326","300845"
"61974","0","6820","299748"
"65358","17","7154","299349"
"19068","3","10216","298227"
"13249","10","6168","294009"
"20862","8","10595","293746"
"5445","0","2218","293639"
"69083","3","8654","283982"
"15168","36","8406","280596"
"88656","0","2671","280406"
"70604","2","4811","277956"
"505088","60","8063","263937"
"1583","34","7669","262629"
"53114","13","4538","260532"
"18393","58","3068","260448"
"12950","42","5370","257822"
"157247","33","6523","257075"
"203907","135","5639","255784"
"18936","2","4282","254678"
"34509","143","2498","242317"
"139985","18","8406","239555"
"187606","243","7009","238421"
"335858","7","7791","231596"
"100297","2","8908","226963"
"179910","3","7046","226886"
"571407","4","9034","226756"
"19563","0","1933","224714"
"106224","19","3180","223467"
"218196","7","4815","222293"
"1968","80","3093","219617"
"224671","13","3441","219084"
"57695","19","9884","210522"
"413501","66","5007","205667"
"10661","16","3983","199986"
"190597","15","4371","199466"
"33708","8","2322","193933"
"20860","14","3536","190264"
"27535","9","5122","189082"
"479863","4","4545","187195"
"151292","14","2660","185780"
"21234","48","3230","185769"
"476","48","5231","185710"
"16417","17","1021","185623"
"138475","3","3079","182761"
"3043","102","4655","182257"
"37213","15","7266","181547"
"55159","14","3743","178749"
"50079","13","5100","178503"
"118068","0","8246","177979"
"104349","6","5013","176956"
"31671","502","4649","176081"
"596781","67","4960","175145"
"9021","330","1709","173188"
"12711","3","3259","172832"
"16883","64","3077","171807"
"70393","21","2548","167789"
"28169","5","4424","167686"
"9530","28","2131","165517"
"73226","16","3763","164312"
"16076","3","3848","162143"
"182668","38","4525","160977"
"13005","12","3112","160431"
"139459","151","4571","157054"
"139010","102","3627","156523"
"367273","53","5614","154987"
"166749","65","3732","152954"
"105929","53","3980","152748"
"53013","56","1946","150941"
"34211","12","2584","150745"
"922184","2","841","150440"
"148870","2","3269","149055"
"1144035","0","9926","148871"
"149392","3","2033","147923"
"60761","11","4111","147559"
"208809","11","2532","147250"
"284240","144","5725","147100"
"115730","25","1867","146083"
"87234","17","1405","145792"
"276052","114","2595","145148"
"2988","1","1817","144195"
"129570","21","3933","142537"
"227665","3","2850","142266"
"36305","0","4824","141702"
"18771","48","3175","141552"
"415784","195","2893","140920"
"103167","41","4478","140910"
"73070","56","2852","139891"
"267","270","2006","139468"
"1288","69","1568","139209"
"84651","13","3463","138556"
"20670","14","3505","137575"
"548225","9","8129","137224"
"33213","18","1801","137143"
"135152","34","3029","136705"
"9951","196","490","136679"
"34088","291","4979","136548"
"12960","2","3659","135196"
"3153","155","1370","134802"
"522444","6","3844","134041"
"507674","207","6141","133928"
"6782","34","3086","133538"
"187690","10","2528","132556"
"816620","19","4788","132008"
"605744","13","2965","131241"
"114251","64","7014","131111"
"222908","0","1535","131032"
"113716","17","2556","130932"
"98713","107","2988","130734"
"230513","6","4249","129730"
"315935","6","3788","128659"
"50742","2","2452","128638"
"298479","79","3424","127815"
"673730","109","3853","127323"
"734069","22","2550","126948"
"276101","110","1439","126179"
"541091","8","3444","125602"
"40342","9","2035","125392"
"5987","54","3860","125157"
"47773","20","3195","124942"
"491243","60","5671","124638"
"263525","54","4279","124486"
"28804","75","1421","124082"
"279627","10","2054","123343"
"143305","5","2198","123054"
"24181","14","1366","122904"
"94197","41","1675","122256"
"589924","5","3356","122129"
"14343","38","2361","122071"
"3474","11","1661","121353"
"256196","71","5256","121309"
"992484","3","4725","120230"
"501557","146","2430","119860"
"45914","19","2052","119558"
"25646","0","1935","119374"
"17516","35","3250","119057"
"131872","0","4116","118891"
"103154","0","2340","117421"
"36565","5","2778","117376"
"19679","10","1494","115751"
"54680","69","2541","115645"
"76337","33","5084","115392"
"65863","2","4085","114196"
"96100","2","1877","113862"
"938089","2","2424","113799"
"6521","18","1260","113383"
"464709","1","2441","113180"
"61305","1","3385","112365"
"204847","0","2954","111983"
"33518","0","1890","111437"
"41661","94","1508","111199"
"77567","0","2158","110892"
"560648","144","3160","110871"
"452307","74","2595","110814"
"535871","57","3639","110291"
"134633","3","2630","110101"
"1011995","3","2140","110030"
"14065","63","2323","109990"
"50552","24","3593","109932"
"119963","1","742","109655"
"85371","9","3571","109450"
"464744","94","3881","108543"
"440558","16","4472","108223"
"75170","41","1050","108215"
"5190","45","1258","108186"
"116908","7","2567","107988"
"10397","0","2410","105606"
"965051","0","4441","105134"
"33732","17","1860","104407"
"55847","1","1554","103287"
"418556","34","3610","103172"
"405017","164","1915","103094"
"405015","0","1922","102363"
"82548","23","3343","101423"
"137350","11","1493","101373"
"342852","62","2317","101336"
"68587","12","1938","101090"
"260990","43","2990","100389"
"14955","189","2314","100336"
"661519","12","2696","100039"
"426671","57","3391","99619"
"76217","26","1632","99119"
"207421","11","7037","99101"
"174728","6","3072","98025"
"102937","138","3043","97953"
"251311","210","2633","97593"
"253056","21","2631","97354"
"13","9","1658","96550"
"26428","12","2329","96367"
"126014","35","1519","95841"
"1491895","10","5271","95675"
"91299","47","1520","95588"
"4279","24","2827","95224"
"367456","49","4004","95113"
"635608","0","2252","94907"
"126769","37","2183","94885"
"1855677","9","3298","94869"
"366904","9","1924","94288"
"147192","38","2377","93978"
"615","22","803","93385"
"5380","68","1627","93071"
"939860","12","2760","93063"
"140719","46","1513","93046"
"7714","11","2196","92943"
"829571","85","2513","92235"
"15498","25","3041","92069"
"69755","15","947","91892"
"714501","0","2021","91599"
"126042","22","1183","91594"
"21886","29","1456","90981"
"46642","72","1168","90965"
"330315","5","2850","90910"
"57428","933","1865","90285"
"104891","0","1628","89914"
"470005","7","3062","89483"
"83805","3","1026","89283"
"379897","149","2534","88874"
"247533","16","1350","88803"
"9990","27","2484","88620"
"201359","15","2674","87997"
"23528","163","2825","87223"
"417562","5","1909","87063"
"714968","50","2827","87049"
"329769","5","2327","87023"
"908494","1","3281","87007"
"298661","298","3116","86701"
"526535","10","1936","86577"
"250259","18","3058","86525"
"56338","9","1451","86063"
"97337","9","2078","85492"
"36723","40","1329","85207"
"3171","13","922","85119"
"438992","3","3414","85004"
"1386886","53","1902","84968"
"572644","108","2690","84948"
"220819","25","1350","84637"
"82187","43","1792","84580"
"748858","105","2637","84218"
"454533","157","3906","83890"
"582","6","1407","83847"
"846892","15","3136","83845"
"35070","38","1862","83824"
"98117","5","999","83705"
"649665","17","2890","83098"
"48082","419","1642","83092"
"244296","40","956","82867"
"20713","6","1394","82761"
"1902010","42","2112","82386"
"871026","19","2801","82347"
"1048572","19","3817","82104"
"93623","7","1666","82060"
"1679863","36","2592","81731"
"3560","12","540","81708"
"1187415","2","2361","80987"
"252000","367","874","80924"
"223092","16","716","80891"
"39430","30","2310","80856"
"19299","1","1408","80659"
"1159478","1","2754","80464"
"116862","5","1421","80269"
"961113","1","2417","80216"
"3333","113","1224","80101"
"707111","51","2756","79873"
"352765","13","2615","79564"
"4725","5","2101","79488"
"128165","7","2643","79389"
"131527","12","2989","78893"
"206403","68","2333","78858"
"1338292","8","3122","78560"
"12030","16","2297","78545"
"263693","5","1959","78474"
"1197518","6","3171","78400"
"144424","11","2731","78282"
"47738","79","1804","78133"
"811","3","492","78115"
"285587","24","5054","77897"
"7412","54","1768","77830"
"524368","18","2690","77753"
"324584","25","2587","77734"
"419970","122","1496","77691"
"8206","75","1352","77687"
"67","33","1099","77562"
"20654","255","1668","77546"
"4668","224","1023","77076"
"2225682","1","2901","77073"
"145190","357","1707","77048"
"13531","8","586","76802"
"46058","53","405","76618"
"140740","2","1903","76410"
"125816","13","1961","75937"
"851273","1","3927","75493"
"762073","13","3442","75135"
"41071","68","2362","75054"
"827263","7","1791","74308"
"12855","7","1013","73997"
"1228","158","1542","73919"
"100754","26","1703","73803"
"50476","10","1595","73171"
"229044","12","1886","72544"
"345031","24","2307","72393"
"546730","25","2419","72359"
"464988","33","2263","72248"
"1033896","14","1739","72218"
"594420","0","978","72208"
"123527","22","1341","72083"
"790695","28","1748","71950"
"59303","35","2197","71937"
"116","213","302","71101"
"265143","19","1541","71093"
"17160","11","735","70997"
"5486","74","258","70930"
"505154","9","1932","70691"
"4249","65","1749","70281"
"1298762","0","3070","70279"
"569436","3","2255","70208"
"2766176","20","1227","70122"
"38360","49","1045","69969"
"848164","3","2723","69908"
"15416","21","3176","69885"
"270591","100","1441","69641"
"477878","1","2492","69595"
"191596","8","2311","69460"
"2140","31","631","69452"
"67606","45","1816","69429"
"341251","0","1965","69388"
"8985","8","132","69362"
"1103872","19","2270","69321"
"91","313","735","69261"
"995876","1","2106","69138"
"141172","340","2237","69029"
"21239","37","1629","68991"
"63756","27","1341","68989"
"40347","20","1212","68910"
"62576","6","1889","68616"
"383861","1","2503","68555"
"338665","13","1011","68033"
"575376","66","2757","67937"
"52738","4","1169","67875"
"643383","14","2414","67816"
"146325","0","2016","67415"
"13627","105","1276","67322"
"500104","85","1098","67073"
"1053","55","1653","67021"
"1715579","22","2050","66899"
"215945","19","703","66571"
"82294","9","1177","66545"
"16853","138","702","66441"
"153982","34","1626","66432"
"38206","17","1260","66360"
"97160","11","1512","66313"
"47529","15","1276","66198"
"429846","11","1219","66190"
"572670","21","1784","66169"
"616443","5","2479","65747"
"740","0","1510","65370"
"615754","2","2462","65363"
"2548","1","3036","65327"
"15541","44","2026","65183"
"153285","100","1887","65086"
"721269","16","2307","65056"
"17172","3","480","65003"
"1226963","8","2224","64822"
"561731","94","2525","64779"
"152948","2","918","64690"
"87189","13","1964","64680"
"14104","3","2694","64544"
"18747","8","1391","64499"
"1120273","13","2328","64396"
"271616","7","1158","64302"
"30461","45","2350","64264"
"43089","9","484","64258"
"12579","40","3502","64195"
"44389","48","797","64103"
"541686","709","1083","63884"
"314488","23","2087","63624"
"243782","395","932","63282"
"122718","93","2239","63064"
"745","111","565","63062"
"514749","165","1443","62954"
"149341","2","2058","62813"
"1119701","0","1660","62660"
"128421","4","2334","62503"
"978917","3","1774","62312"
"133802","18","1487","62130"
"1084437","4","3103","61947"
"487339","0","1370","61912"
"87698","138","1402","61840"
"24874","239","690","61700"
"602276","34","938","61592"
"246342","0","1940","61508"
"105224","45","2457","61481"
"56778","27","2146","61341"
"7552","5","2991","61208"
"15245","32","1342","61180"
"7586","14","1289","61122"
"27423","36","1167","61070"
"165737","39","1020","60861"
"12870","148","642","60728"
"24054","9","1798","60681"
"14637","77","1265","60621"
"35092","23","1580","60398"
"344949","4","2454","60397"
"841108","11","2970","60339"
"214010","186","1277","60322"
"119280","129","1390","60212"
"869736","7","1450","60086"
"324364","11","1157","60011"
"48015","7","752","59941"
"825568","23","1494","59924"
"1163867","15","2173","59916"
"24587","84","557","59841"
"377270","0","2101","59787"
"304","7","1377","59781"
"135589","23","1236","59536"
"89771","245","1273","59444"
"168657","12","1353","59426"
"95592","64","99","59390"
"164835","25","2558","59372"
"872395","0","1320","59285"
"424300","1","938","59238"
"33006","22","1189","59098"
"1965","149","657","59058"
"1919155","0","2783","59032"
"1271826","6","2042","59030"
"980833","12","936","58971"
"8815","26","979","58963"
"69545","0","944","58877"
"89391","30","1325","58867"
"6509","0","1700","58645"
"2598","45","722","58503"
"10897","61","2061","58496"
"350087","40","1544","58421"
"1932150","28","1516","58401"
"419","143","1101","58265"
"325565","1","763","58219"
"2424","68","2233","58215"
"111335","9","988","58197"
"445517","6","1511","58196"
"112968","64","1212","58168"
"121747","119","1791","57931"
"113570","30","833","57891"
"105570","263","1047","57880"
"398670","20","1742","57835"
"438154","115","2517","57790"
"13087","72","1739","57745"
"7432","31","2069","57625"
"91671","46","859","57570"
"60188","88","1392","57409"
"497418","54","1413","56595"
"251738","4","2149","56485"
"6694","15","792","56420"
"813","28","478","56281"
"469935","165","1116","56231"
"168225","34","1060","56221"
"1450","81","789","56159"
"519413","21","2140","56150"
"282848","39","846","55970"
"412770","23","959","55948"
"1942","16","1166","55924"
"58808","40","511","55836"
"2648","632","816","55835"
"1695","130","994","55824"
"32632","29","1670","55814"
"573261","23","2012","55797"
"601179","112","1669","55783"
"416467","6","1436","55717"
"200291","16","1552","55684"
"216074","77","1423","55658"
"362536","129","2048","55635"
"65696","29","1499","55617"
"478399","21","2861","55609"
"1249581","20","1535","55488"
"142822","2","2442","55476"
"1140579","3","1963","55470"
"44330","772","963","55400"
"234938","11","456","55229"
"1109","25","438","55189"
"1831","17","1168","55056"
"425275","155","1254","54924"
"248432","11","2096","54840"
"142434","0","884","54830"
"414076","7","1079","54756"
"17174","197","764","54747"
"497356","3","1154","54726"
"576911","2","631","54686"
"298053","7","1989","54636"
"66692","4","1535","54635"
"157360","0","506","54628"
"852828","15","1541","54569"
"101258","65","1483","54436"
"241536","93","1441","54426"
"1707091","1","1604","54415"
"24545","173","720","54385"
"14113","9","39","54320"
"871050","56","2103","54211"
"623041","18","1931","54193"
"659804","11","1812","54083"
"8992","2","1013","54077"
"179850","19","1576","54003"
"12725","14","1469","53955"
"328193","72","2147","53944"
"62076","98","1185","53939"
"2147","322","529","53930"
"15055","502","787","53880"
"87015","121","1583","53808"
"1357341","31","1366","53711"
"13663","7","1246","53703"
"273200","20","1764","53630"
"298575","0","689","53518"
"3146","43","870","53349"
"1542290","28","1535","53282"
"9034","0","2900","53129"
"150634","38","1466","53101"
"449449","5","1058","53054"
"822","2","69","52994"
"62130","16","380","52985"
"21677","29","507","52985"
"17389","9","1367","52798"
"6819","19","1237","52632"
"13154","33","1899","52624"
"299924","39","1784","52586"
"264697","35","1435","52539"
"18255","105","2012","52533"
"459897","1","2216","52466"
"13508","121","2056","52322"
"1270695","8","1428","52305"
"166339","2","843","52295"
"1988185","0","2766","52263"
"234","66","575","52251"
"4833","14","1494","52084"
"1659","29","887","52034"
"301832","4","1857","52006"
"16102","0","919","51870"
"13552","57","462","51854"
"1196","29","500","51675"
"140750","59","1777","51660"
"152602","0","1214","51634"
"314166","350","1828","51562"
"89266","28","692","51482"
"464581","22","1647","51437"
"77335","0","1976","51431"
"20394","37","1420","51300"
"232610","13","1287","51268"
"400654","8","1850","51240"
"305644","55","1693","51239"
"120955","38","1250","51190"
"501250","7","1418","51109"
"190807","19","1793","51072"
"236398","0","571","51044"
"813602","2","1755","50977"
"67392","3","1791","50952"
"1199","2","228","50911"
"653856","8","2460","50860"
"752738","0","1664","50685"
"232707","0","647","50664"
"75525","80","1946","50658"
"567292","18","1285","50645"
"2688","16","675","50628"
"8155","24","1574","50600"
"6330","16","1358","50533"
"106671","1","1743","50354"
"135566","0","2366","50293"
"85785","12","1123","50279"
"1001985","57","1858","50266"
"32914","303","889","50181"
"45664","36","1122","50172"
"45433","6","312","49845"
"19750","4","607","49837"
"60711","44","942","49824"
"126214","12","1487","49748"
"131368","10","845","49716"
"772035","19","1782","49647"
"592139","0","1826","49483"
"1755","36","2028","49450"
"511529","9","2171","49413"
"61164","115","2013","49282"
"23072","144","1039","49235"
"65223","27","1647","49234"
"427332","0","1207","49196"
"41116","23","1433","49154"
"4086","54","801","49098"
"34218","1","603","49009"
"135531","12","1078","48955"
"142162","28","878","48801"
"82320","370","1248","48792"
"932418","1","1558","48785"
"214671","2","1092","48767"
"18180","27","883","48708"
"33686","71","573","48671"
"17279","195","1072","48657"
"25324","6","1568","48648"
"1427416","14","1158","48539"
"13913","199","628","48528"
"50776","17","1383","48431"
"1694","85","264","48393"
"259038","2","113","48371"
"127724","13","1287","48371"
"14606","173","1542","48170"
"2509","8","1053","48145"
"70386","293","1598","48137"
"14357","154","1586","48111"
"114066","172","600","48065"
"457406","17","1092","48055"
"6148","6","761","48052"
"189205","0","771","48001"
"1838509","41","1762","47976"
"415448","9","2929","47841"
"1204143","34","1572","47836"
"44309","0","1788","47736"
"671858","3","1745","47639"
"847363","0","1708","47634"
"123109","29","890","47613"
"131433","236","1773","47604"
"310574","5","1384","47517"
"198707","30","788","47442"
